Configuration,avg_result,min_result,max_result,avg_time,min_time,max_time,avg_num_i
rand-edges-MSLS,35837.0,35402.0,36734.0,312.89315547943113,309.0726282596588,315.717830657959,200.0
rand-edges-LNS,34907.6,33018.0,36265.0,315.81683185100553,315.7394771575928,315.87103843688965,1840.8
rand-edges-ILS,32830.2,32227.0,33603.0,315.94969937801363,315.7680399417877,316.14425683021545,1316.3
