Configuration,avg_result,min_result,max_result,avg_time,min_time,max_time,avg_num_i
rand-edges-MSLS,36361.8,35727.0,36847.0,1839.1811577796936,316.48323678970337,15477.695791959763,200.0
rand-edges-LNS,34679.8,32943.0,36482.0,316.5698195695877,316.4861521720886,316.64267563819885,1812.9
rand-edges-ILS,33078.7,32315.0,33932.0,316.61113612651826,316.48428869247437,316.88828563690186,1282.3
